reducer,date,avg_rad
mean,2017-01-01,81.05841316159365
mean,2017-02-01,80.42824229905563
mean,2017-03-01,78.41705935821413
mean,2017-04-01,73.42254163808886
mean,2017-05-01,72.81268643315434
mean,2017-06-01,66.9201584612488
mean,2017-07-01,72.43809070708646
mean,2017-08-01,64.52675885911205
mean,2017-09-01,66.43121858554282
mean,2017-10-01,77.64131319386188
mean,2017-11-01,83.3448811597885
mean,2017-12-01,79.07997388247475
mean,2018-01-01,61.207171687350915
mean,2018-02-01,67.84314537488733
mean,2018-03-01,80.32964260228883
mean,2018-04-01,76.15263758328315
mean,2018-05-01,72.40542726455982
mean,2018-06-01,69.03752880460901
mean,2018-07-01,69.90691709305833
mean,2018-08-01,67.38179624232522
mean,2018-09-01,72.27458597596286
mean,2018-10-01,64.13128790460576
mean,2018-11-01,70.77545270433855
mean,2018-12-01,82.97835720481389
mean,2019-01-01,78.09506892398664
mean,2019-02-01,95.49452228455034
mean,2019-03-01,89.68345322047074
mean,2019-04-01,80.11706953716886
mean,2019-05-01,71.40706890753124
mean,2019-06-01,70.19783542657356
mean,2019-07-01,74.17997440669188
mean,2019-08-01,70.68278921455338
mean,2019-09-01,65.99578254253242
mean,2019-10-01,71.6606898084568
mean,2019-11-01,75.32878922732775
mean,2019-12-01,79.85707146559552
mean,2020-01-01,78.05559331171075
mean,2020-02-01,83.16890482477325
mean,2020-03-01,73.8250437482907
mean,2020-04-01,80.71240905819428
mean,2020-05-01,72.83461008648966
mean,2020-06-01,68.56161663107056
mean,2020-07-01,62.1876921116167
mean,2020-08-01,66.96153000130019
mean,2020-09-01,65.4260522315457
mean,2020-10-01,81.0902154998415
mean,2020-11-01,78.24810020088393
mean,2020-12-01,83.50941286967823
mean,2021-01-01,82.31284116331943
mean,2021-02-01,102.98974183501717
mean,2021-03-01,112.058690797903
mean,2021-04-01,99.92153846473454
mean,2021-05-01,105.83591156537372
mean,2021-06-01,82.42793814665198
mean,2021-07-01,80.44965517809439
mean,2021-08-01,76.23026928992792
mean,2021-09-01,78.47639542461206
mean,2021-10-01,87.8528281205779
mean,2021-11-01,82.18754116653639
mean,2021-12-01,93.00625659098293
mean,2022-01-01,96.89160630657415
mean,2022-02-01,116.36071341083309
mean,2022-03-01,91.20845994675994
mean,2022-04-01,117.39897952535351
